epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1495.71,1.73895,0.99283,1.11153,0.05825,1,0.0594,0.03436,1.33141,83.9961,1.01967,0.0011486,0.0011486,0.0011486
45,1524.31,1.6208,0.95,1.02805,0.05825,1,0.0594,0.03436,1.33141,83.9961,1.01967,0.0011288,0.0011288,0.0011288
46,1550.79,1.54763,0.79021,0.98931,0.96589,1,0.995,0.60197,1.36471,0.83929,1.02834,0.001109,0.001109,0.001109
47,1582.86,1.58669,0.82172,0.99135,0.98493,1,0.995,0.52856,1.47636,0.76807,1.10943,0.0010892,0.0010892,0.0010892
48,1621.23,1.46025,0.8785,0.98296,0.9831,1,0.995,0.56712,1.58264,0.76625,1.15728,0.0010694,0.0010694,0.0010694
49,1659.61,1.51688,0.78576,1.03269,0.9831,1,0.995,0.56712,1.58264,0.76625,1.15728,0.0010496,0.0010496,0.0010496
50,1696.16,1.42607,0.9409,1.00499,0.98569,1,0.995,0.62226,1.3908,0.75432,1.04846,0.0010298,0.0010298,0.0010298
51,1733.87,1.39188,0.77447,0.98271,0.9854,1,0.995,0.68399,1.19614,0.67555,0.96035,0.00101,0.00101,0.00101
52,1768.49,1.56376,0.91109,1.0941,0.97287,1,0.995,0.58899,1.36427,0.79608,1.01054,0.0009902,0.0009902,0.0009902
53,1798.9,1.39913,0.78334,1.01264,0.97287,1,0.995,0.58899,1.36427,0.79608,1.01054,0.0009704,0.0009704,0.0009704
54,1826.21,1.42771,0.797,1.07344,0.95896,1,0.995,0.4917,1.63005,0.93885,1.09759,0.0009506,0.0009506,0.0009506
55,1857.97,1.40351,0.77452,0.95593,0.96783,1,0.995,0.4603,1.84034,1.01067,1.21164,0.0009308,0.0009308,0.0009308
56,1885.25,1.47219,0.7502,0.98663,0.91874,0.75,0.945,0.43286,1.90819,1.34828,1.27339,0.000911,0.000911,0.000911
57,1915.01,1.44659,0.82376,0.92298,0.91874,0.75,0.945,0.43286,1.90819,1.34828,1.27339,0.0008912,0.0008912,0.0008912
58,1948.33,1.37493,0.76703,0.94861,1,0.93668,0.995,0.63423,1.45608,1.04044,1.07427,0.0008714,0.0008714,0.0008714
59,1977.16,1.322,0.68567,0.95637,0.97548,1,0.995,0.74031,1.00725,0.68946,0.93512,0.0008516,0.0008516,0.0008516
60,2004.55,1.39946,0.68444,1.03542,0.98686,1,0.995,0.70487,1.05669,0.56596,0.94195,0.0008318,0.0008318,0.0008318
61,2041.54,1.32485,0.76532,0.93024,0.98686,1,0.995,0.70487,1.05669,0.56596,0.94195,0.000812,0.000812,0.000812
62,2071.65,1.37127,0.80075,0.91673,0.98653,1,0.995,0.68458,1.30677,0.60632,1.02904,0.0007922,0.0007922,0.0007922
